persona_id,axis_1,axis_2,axis_3,axis_4,axis_5,axis_6,axis_7,axis_8,axis_9,axis_10,axis_11,axis_12,n_models,cluster,region,urban_rural,age,gender,education,economic_position,governance_experience,religious_tradition,occupation,location,name
P0001,-0.85,0.20929999999999999,-0.6499999999999999,-0.10445000000000002,-0.36425,-0.56965,-0.05,0.75,0.0,0.78045,-0.736,-0.43779999999999997,2,2,western_europe,rural,72,female,university,middle_class,stable_democracy,"Anglican, nominally observant (attends Christmas/Easter).",Retired primary school teacher,"Staithes, North Yorkshire, United Kingdom",Eleanor Vance
P0002,-0.2918,0.3994,0.7,0.7374,0.075,-0.3515,-0.6,0.6,0.2,-0.4378,0.3515,0.3166,1,0,western_europe,urban,45,male,university,affluent,stable_democracy,Atheist with a Lutheran cultural background.,Software developer for an automotive supplier,"Leipzig, Germany",Markus Schmidt
P0003,-0.4282,-0.2,-0.8,-0.6929,-0.9244,-0.6509,-0.6,-0.7,-0.8,-0.5253,-0.8249,-0.6929,1,4,western_europe,peri_urban,28,female,university,struggling,stable_democracy,"Roman Catholic, culturally rather than devoutly.",Freelance graphic designer,"Mislata, Valencia, Spain",Sofia Garcia
P0004,-0.32120000000000004,0.062450000000000006,-0.75,-0.6929,-0.5357500000000001,-0.5297499999999999,0.75,0.55,0.6,0.762,-0.736,-0.6053999999999999,2,2,western_europe,rural,58,male,secondary,working_class,stable_democracy,"Secular, with a strong cultural attachment to local traditions.",Small-scale organic farmer,"Rural commune near Limoges, France",Jean-Pierre Dubois
P0005,-0.85,0.0244,0.7,0.7351,0.2032,-0.5634,-0.4,-0.3,-0.4,-0.439,-0.158,-0.5274,1,0,western_europe,urban,34,female,university,middle_class,stable_democracy,"Sunni Muslim, observant but not strict.",Nurse at a public hospital,"Rotterdam, Netherlands",Aisha Khan
P0006,-0.8468,0.175,-0.5,-0.495,-0.1285,-0.3009,0.9,0.9,0.6,0.8249,-0.6054,-0.5825,1,2,western_europe,urban,61,male,secondary,working_class,stable_democracy,"Lutheran, non-practicing, identifies as culturally Christian.","Retired forestry worker, now part-time handyman","Umeå, Sweden",Björn Karlsson
P0007,-0.5465,-0.3501,-0.8,-0.5825,-0.2168,-0.4455,0.9,0.9,0.7,0.9125,-0.7804,-0.67,1,2,western_europe,rural,51,male,primary,struggling,flawed_democracy,"Greek Orthodox, devout.",Olive farmer and small guesthouse owner,"Rural area outside Kalamata, Greece",Costas Papadopoulos
P0008,-0.6965,-0.3,-0.2,0.7375,-0.775,-0.6373,-0.7,-0.1,-0.3,-0.4378,-0.7372,-0.35,1,4,western_europe,urban,39,female,postgraduate,middle_class,flawed_democracy,"Roman Catholic, culturally identifies but rarely attends mass.",Art restorer (self-employed),"Trastevere, Rome, Italy",Maria Rossi
P0009,-0.925,-0.05,0.6,-0.7866,-0.8499,-0.7446,-0.9,-1.0,-0.8,-0.5251,-0.8249,-0.7866,1,4,western_europe,urban,22,non_binary,secondary,struggling,stable_democracy,"Agnostic, raised culturally Catholic.",Barista and aspiring musician,"Galway City, Ireland",Finn O'Connell
P0010,-0.85,-0.3668,0.7,0.7374,-0.3965,-0.358,-0.6,0.7,-0.4,-0.4378,-0.736,-0.3501,1,0,western_europe,urban,55,male,university,middle_class,stable_democracy,"Lutheran, non-practicing, values the cultural heritage.",High school history teacher,"Odense, Denmark",Søren Jensen
P0011,-0.1282,-1.0,-0.3,0.8226,-0.6832,-0.439,-1.0,-0.9,-0.8,-0.614,-0.8249,-0.6149,1,4,western_europe,urban,31,female,postgraduate,affluent,stable_democracy,Atheist.,Architect specializing in sustainable urban planning,"Hamburg, Germany",Lena Müller
P0012,-0.8468,0.475,-0.5,-0.5274,-0.6215,-0.5265,-0.5,0.8,-0.6,0.7374,-0.6497,-0.3524,1,1,western_europe,urban,48,male,secondary,struggling,stable_democracy,"Culturally Catholic, but rarely practices.","Former factory worker, now unemployed","Charleroi, Belgium",Patrick Lefevre
P0013,-0.85,0.0832,-0.5,-0.2721,-0.6832,-0.5634,0.4,0.7,0.6,0.7372,-0.8235,-0.6054,1,2,western_europe,rural,67,female,primary,working_class,stable_democracy,"Roman Catholic, devout and active in her local parish.",Retired fisherwoman and small-scale artisan,"Porto Covo, Alentejo, Portugal",Isabel Silva
P0014,-0.8499,0.7,-0.1,-0.5377,-0.7718,-0.5634,-0.4,-1.0,-0.8,0.4747,-0.9122,-0.5377,1,1,western_europe,urban,41,male,secondary,working_class,stable_democracy,"Pentecostal Christian, very devout, active in his church community.",Public transport driver,"Brixton, London, United Kingdom",Kwame Mensah
P0015,-0.8499,-0.85,0.6,0.7374,-0.7582,-0.3515,-0.7,-0.8,-0.8,-0.614,-0.7374,-0.4376,1,4,western_europe,urban,29,female,postgraduate,affluent,stable_democracy,Secular humanist.,Environmental researcher at a university,"Bergen, Norway",Anna Lindgren
P0016,0.0082,0.6082,-0.7,-0.5274,-0.6832,-0.855,0.3,-0.1,0.6,0.7372,-0.7866,-0.5274,1,2,western_europe,rural,64,male,secondary,middle_class,stable_democracy,"Reformed Protestant, moderately observant.","Retired clockmaker, part-time village council member","Rural village near Bern, Switzerland",Hans Wirth
P0017,-0.925,0.17295000000000002,0.75,-0.1396,-0.61485,-0.44225,-0.8,0.8,-0.8,-0.39395,-0.7372,-0.4375,2,0,western_europe,urban,36,female,university,working_class,stable_democracy,"Secular, raised in a non-religious household.",Kindergarten teacher,"Nantes, France",Elodie Moreau
P0018,-0.8332,0.7,-0.5,0.3142,-0.2168,-0.3515,0.7,0.7,0.6,0.7372,-0.6116,-0.3524,1,2,western_europe,peri_urban,50,male,secondary,middle_class,stable_democracy,"Evangelical Lutheran Church of Finland, nominal member, rarely attends.",Factory foreman (paper industry),"Small town near Tampere, Finland",Kai Virtanen
P0019,0.025,0.7,0.2,0.7374,-0.7718,-0.358,-0.8,0.5,0.0,-0.533,0.2626,0.4041,1,0,western_europe,urban,25,non_binary,university,middle_class,stable_democracy,Atheist.,Tech startup founder,"Copenhagen, Denmark",Silas Vestergaard
P0020,-0.85,0.3994,0.3,0.2592,-0.6082,-0.3884,0.8,0.8,0.7,0.736,-0.8235,-0.5825,1,2,western_europe,urban,81,female,primary,working_class,stable_democracy,"Roman Catholic, culturally and moderately observant.",Retired seamstress,"Innsbruck, Austria",Franziska Steiner
P0021,-0.7744,0.475,-0.7,-0.6929,-0.45,-0.5634,0.8,0.8,0.7,0.8247,-0.6116,-0.5179,1,2,western_europe,rural,72,male,primary,working_class,stable_democracy,"Anglican, nominally observant (attends church for major holidays)","Retired fisherman, formerly owned a small trawler","Penzance, Cornwall, United Kingdom",Arthur Davies
P0022,-0.7582,-0.8494,-0.7,0.7248,-0.8332,-0.7446,-0.9,-0.8,-0.8,-0.533,-0.7295,-0.4502,1,4,western_europe,urban,28,non_binary,university,middle_class,stable_democracy,"Atheist, raised in a secular household",Software developer for a sustainable tech startup,"Kreuzberg, Berlin, Germany",Lena Becker
P0023,-0.8494,0.3968,0.3,0.3167,-0.7718,-0.5634,-0.6,-0.2,-0.8,-0.4376,-0.7372,-0.35,1,4,western_europe,peri_urban,45,female,university,working_class,stable_democracy,"Roman Catholic, culturally observant (attends mass irregularly, celebrates holidays)",Primary school teacher,"Aljaraque, Huelva, Spain",María Rodriguez
P0024,-0.3506,0.775,0.7,0.8123,-0.0668,-0.3515,-0.4,0.9,0.5,-0.35,0.4759,0.4623,1,0,western_europe,urban,68,male,postgraduate,affluent,stable_democracy,"Agnostic, raised Catholic (nominal)","Retired civil engineer, specializing in public infrastructure","Aix-en-Provence, France",Jean-Pierre Dubois
P0025,-0.4285,0.4,-0.7,-0.1066,-0.6832,-0.533,-0.7,-0.2,-0.8,-0.3503,-0.7372,-0.3524,1,1,western_europe,urban,34,female,university,struggling,flawed_democracy,"Roman Catholic, culturally identifies but non-practicing",Freelance graphic designer and part-time barista,"Naples, Italy",Silvia Rossi
P0026,-0.80235,0.6916,-0.44999999999999996,-0.17310000000000003,-0.21015,-0.35475,0.75,0.8,0.6499999999999999,0.7372,-0.6553500000000001,-0.4627,2,2,western_europe,peri_urban,55,male,secondary,middle_class,stable_democracy,"Lutheran (Church of Sweden), secular in practice",Forestry worker and small-scale timber merchant,"Växjö, Sweden",Bjorn Svensson
P0027,-0.85,-0.15,-0.2,0.6499,-0.7582,-0.533,-0.7,-0.4,-0.4,-0.4378,-0.7372,-0.3501,1,4,western_europe,urban,41,female,postgraduate,middle_class,stable_democracy,"Roman Catholic, culturally identifies but rarely practices",University lecturer in Celtic Studies,"Galway, Ireland",Fiona O'Connell
P0028,-0.85,0.3082,0.7,0.7375,0.2035,-0.358,-0.6,0.7,-0.7,-0.3501,-0.6485,-0.35,1,0,western_europe,peri_urban,60,male,university,middle_class,stable_democracy,"Evangelical Lutheran (Church of Denmark), culturally affiliated, minimal practice",Retired high school physics teacher,"Odense, Denmark",Erik Knudsen
P0029,-0.85,0.6249,-0.2,-0.4304,-0.8499,-0.855,0.3,-0.8,-0.8,-0.1932,-0.8247,-0.6929,1,1,western_europe,urban,31,female,secondary,working_class,stable_democracy,"Sunni Muslim, observant (prays daily, observes Ramadan)",Nurse at a public hospital,"Rotterdam, Netherlands",Fatma El Amrani
